,Tag,Name,Keyword,VR,VM,Unnamed: 5
0,"(0008,0001)",Length to End,LengthToEnd,UL,1,RET
1,"(0008,0005)",Specific Character Set,SpecificCharacterSet,CS,1-n,
2,"(0008,0006)",Language Code Sequence,LanguageCodeSequence,SQ,1,
3,"(0008,0008)",Image Type,ImageType,CS,2-n,
4,"(0008,0010)",Recognition Code,RecognitionCode,SH,1,RET
5,"(0008,0012)",Instance Creation Date,InstanceCreationDate,DA,1,
6,"(0008,0013)",Instance Creation Time,InstanceCreationTime,TM,1,
7,"(0008,0014)",Instance Creator UID,InstanceCreatorUID,UI,1,
8,"(0008,0015)",Instance Coercion DateTime,InstanceCoercionDateTime,DT,1,
9,"(0008,0016)",SOP Class UID,SOPClassUID,UI,1,
10,"(0008,0018)",SOP Instance UID,SOPInstanceUID,UI,1,
11,"(0008,001A)",Related General SOP Class UID,RelatedGeneralSOPClassUID,UI,1-n,
12,"(0008,001B)",Original Specialized SOP Class UID,OriginalSpecializedSOPClassUID,UI,1,
13,"(0008,0020)",Study Date,StudyDate,DA,1,
14,"(0008,0021)",Series Date,SeriesDate,DA,1,
15,"(0008,0022)",Acquisition Date,AcquisitionDate,DA,1,
16,"(0008,0023)",Content Date,ContentDate,DA,1,
17,"(0008,0024)",Overlay Date,OverlayDate,DA,1,RET (2004)
18,"(0008,0025)",Curve Date,CurveDate,DA,1,RET (2004)
19,"(0008,002A)",Acquisition DateTime,AcquisitionDateTime,DT,1,
20,"(0008,0030)",Study Time,StudyTime,TM,1,
21,"(0008,0031)",Series Time,SeriesTime,TM,1,
22,"(0008,0032)",Acquisition Time,AcquisitionTime,TM,1,
23,"(0008,0033)",Content Time,ContentTime,TM,1,
24,"(0008,0034)",Overlay Time,OverlayTime,TM,1,RET (2004)
25,"(0008,0035)",Curve Time,CurveTime,TM,1,RET
26,"(0008,0040)",Data Set Type,DataSetType,US,1,RET (2004)
27,"(0008,0041)",Data Set Subtype,DataSetSubtype,LO,1,RET (2004)
28,"(0008,0042)",Nuclear Medicine Series Type,NuclearMedicineSeriesType,CS,1,RET (2004)
29,"(0008,0050)",Accession Number,AccessionNumber,SH,1,
30,"(0008,0051)",Issuer of Accession Number Sequence,IssuerOfAccessionNumberSequence,SQ,1,
31,"(0008,0052)",Query/Retrieve Level,QueryRetrieveLevel,CS,1,
32,"(0008,0053)",Query/Retrieve View,QueryRetrieveView,CS,1,
33,"(0008,0054)",Retrieve AE Title,RetrieveAETitle,AE,1-n,
34,"(0008,0055)",Station AE Title,StationAETitle,AE,1,
35,"(0008,0056)",Instance Availability,InstanceAvailability,CS,1,
36,"(0008,0058)",Failed SOP Instance UID List,FailedSOPInstanceUIDList,UI,1-n,
37,"(0008,0060)",Modality,Modality,CS,1,
38,"(0008,0061)",Modalities in Study,ModalitiesInStudy,CS,1-n,
39,"(0008,0062)",SOP Classes in Study,SOPClassesInStudy,UI,1-n,
40,"(0008,0063)",Anatomic Regions in Study Code Sequence,AnatomicRegionsInStudyCodeSequence,SQ,1,
41,"(0008,0064)",Conversion Type,ConversionType,CS,1,
42,"(0008,0068)",Presentation Intent Type,PresentationIntentType,CS,1,
43,"(0008,0070)",Manufacturer,Manufacturer,LO,1,
44,"(0008,0080)",Institution Name,InstitutionName,LO,1,
45,"(0008,0081)",Institution Address,InstitutionAddress,ST,1,
46,"(0008,0082)",Institution Code Sequence,InstitutionCodeSequence,SQ,1,
47,"(0008,0090)",Referring Physician's Name,ReferringPhysicianName,PN,1,
48,"(0008,0092)",Referring Physician's Address,ReferringPhysicianAddress,ST,1,
49,"(0008,0094)",Referring Physician's Telephone Numbers,ReferringPhysicianTelephoneNumbers,SH,1-n,
50,"(0008,0096)",Referring Physician Identification Sequence,ReferringPhysicianIdentificationSequence,SQ,1,
51,"(0008,009C)",Consulting Physician's Name,ConsultingPhysicianName,PN,1-n,
52,"(0008,009D)",Consulting Physician Identification Sequence,ConsultingPhysicianIdentificationSequence,SQ,1,
53,"(0008,0100)",Code Value,CodeValue,SH,1,
54,"(0008,0101)",Extended Code Value,ExtendedCodeValue,LO,1,DICOS
55,"(0008,0102)",Coding Scheme Designator,CodingSchemeDesignator,SH,1,
56,"(0008,0103)",Coding Scheme Version,CodingSchemeVersion,SH,1,
57,"(0008,0104)",Code Meaning,CodeMeaning,LO,1,
58,"(0008,0105)",Mapping Resource,MappingResource,CS,1,
59,"(0008,0106)",Context Group Version,ContextGroupVersion,DT,1,
60,"(0008,0107)",Context Group Local Version,ContextGroupLocalVersion,DT,1,
61,"(0008,0108)",Extended Code Meaning,ExtendedCodeMeaning,LT,1,DICOS
62,"(0008,0109)",Coding Scheme Resources Sequence,CodingSchemeResourcesSequence,SQ,1,
63,"(0008,010A)",Coding Scheme URL Type,CodingSchemeURLType,CS,1,
64,"(0008,010B)",Context Group Extension Flag,ContextGroupExtensionFlag,CS,1,
65,"(0008,010C)",Coding Scheme UID,CodingSchemeUID,UI,1,
66,"(0008,010D)",Context Group Extension Creator UID,ContextGroupExtensionCreatorUID,UI,1,
67,"(0008,010E)",Coding Scheme URL,CodingSchemeURL,UR,1,
68,"(0008,010F)",Context Identifier,ContextIdentifier,CS,1,
69,"(0008,0110)",Coding Scheme Identification Sequence,CodingSchemeIdentificationSequence,SQ,1,
70,"(0008,0112)",Coding Scheme Registry,CodingSchemeRegistry,LO,1,
71,"(0008,0114)",Coding Scheme External ID,CodingSchemeExternalID,ST,1,
72,"(0008,0115)",Coding Scheme Name,CodingSchemeName,ST,1,
73,"(0008,0116)",Coding Scheme Responsible Organization,CodingSchemeResponsibleOrganization,ST,1,
74,"(0008,0117)",Context UID,ContextUID,UI,1,
75,"(0008,0118)",Mapping Resource UID,MappingResourceUID,UI,1,
76,"(0008,0119)",Long Code Value,LongCodeValue,UC,1,
77,"(0008,0120)",URN Code Value,URNCodeValue,UR,1,
78,"(0008,0121)",Equivalent Code Sequence,EquivalentCodeSequence,SQ,1,
79,"(0008,0122)",Mapping Resource Name,MappingResourceName,LO,1,
80,"(0008,0123)",Context Group Identification Sequence,ContextGroupIdentificationSequence,SQ,1,
81,"(0008,0124)",Mapping Resource Identification Sequence,MappingResourceIdentificationSequence,SQ,1,
82,"(0008,0201)",Timezone Offset From UTC,TimezoneOffsetFromUTC,SH,1,
83,"(0008,0202)",,,,,RET (2020c)
84,"(0008,0220)",Responsible Group Code Sequence,ResponsibleGroupCodeSequence,SQ,1,
85,"(0008,0221)",Equipment Modality,EquipmentModality,CS,1,
86,"(0008,0222)",Manufacturer's Related Model Group,ManufacturerRelatedModelGroup,LO,1,
87,"(0008,0300)",Private Data Element Characteristics Sequence,PrivateDataElementCharacteristicsSequence,SQ,1,
88,"(0008,0301)",Private Group Reference,PrivateGroupReference,US,1,
89,"(0008,0302)",Private Creator Reference,PrivateCreatorReference,LO,1,
90,"(0008,0303)",Block Identifying Information Status,BlockIdentifyingInformationStatus,CS,1,
91,"(0008,0304)",Nonidentifying Private Elements,NonidentifyingPrivateElements,US,1-n,
92,"(0008,0306)",Identifying Private Elements,IdentifyingPrivateElements,US,1-n,
93,"(0008,0305)",Deidentification Action Sequence,DeidentificationActionSequence,SQ,1,
94,"(0008,0307)",Deidentification Action,DeidentificationAction,CS,1,
95,"(0008,0308)",Private Data Element,PrivateDataElement,US,1,
96,"(0008,0309)",Private Data Element Value Multiplicity,PrivateDataElementValueMultiplicity,UL,1-3,
97,"(0008,030A)",Private Data Element Value Representation,PrivateDataElementValueRepresentation,CS,1,
98,"(0008,030B)",Private Data Element Number of Items,PrivateDataElementNumberOfItems,UL,1-2,
99,"(0008,030C)",Private Data Element Name,PrivateDataElementName,UC,1,
100,"(0008,030D)",Private Data Element Keyword,PrivateDataElementKeyword,UC,1,
101,"(0008,030E)",Private Data Element Description,PrivateDataElementDescription,UT,1,
102,"(0008,030F)",Private Data Element Encoding,PrivateDataElementEncoding,UT,1,
103,"(0008,0310)",Private Data Element Definition Sequence,PrivateDataElementDefinitionSequence,SQ,1,
104,"(0008,1000)",Network ID,NetworkID,AE,1,RET
105,"(0008,1010)",Station Name,StationName,SH,1,
106,"(0008,1030)",Study Description,StudyDescription,LO,1,
107,"(0008,1032)",Procedure Code Sequence,ProcedureCodeSequence,SQ,1,
108,"(0008,103E)",Series Description,SeriesDescription,LO,1,
109,"(0008,103F)",Series Description Code Sequence,SeriesDescriptionCodeSequence,SQ,1,
110,"(0008,1040)",Institutional Department Name,InstitutionalDepartmentName,LO,1,
111,"(0008,1041)",Institutional Department Type Code Sequence,InstitutionalDepartmentTypeCodeSequence,SQ,1,
112,"(0008,1048)",Physician(s) of Record,PhysiciansOfRecord,PN,1-n,
113,"(0008,1049)",Physician(s) of Record Identification Sequence,PhysiciansOfRecordIdentificationSequence,SQ,1,
114,"(0008,1050)",Performing Physician's Name,PerformingPhysicianName,PN,1-n,
115,"(0008,1052)",Performing Physician Identification Sequence,PerformingPhysicianIdentificationSequence,SQ,1,
116,"(0008,1060)",Name of Physician(s) Reading Study,NameOfPhysiciansReadingStudy,PN,1-n,
117,"(0008,1062)",Physician(s) Reading Study Identification Sequence,PhysiciansReadingStudyIdentificationSequence,SQ,1,
118,"(0008,1070)",Operators' Name,OperatorsName,PN,1-n,
119,"(0008,1072)",Operator Identification Sequence,OperatorIdentificationSequence,SQ,1,
120,"(0008,1080)",Admitting Diagnoses Description,AdmittingDiagnosesDescription,LO,1-n,
121,"(0008,1084)",Admitting Diagnoses Code Sequence,AdmittingDiagnosesCodeSequence,SQ,1,
122,"(0008,1090)",Manufacturer's Model Name,ManufacturerModelName,LO,1,
123,"(0008,1100)",Referenced Results Sequence,ReferencedResultsSequence,SQ,1,RET (2004)
124,"(0008,1110)",Referenced Study Sequence,ReferencedStudySequence,SQ,1,
125,"(0008,1111)",Referenced Performed Procedure Step Sequence,ReferencedPerformedProcedureStepSequence,SQ,1,
126,"(0008,1115)",Referenced Series Sequence,ReferencedSeriesSequence,SQ,1,
127,"(0008,1120)",Referenced Patient Sequence,ReferencedPatientSequence,SQ,1,
128,"(0008,1125)",Referenced Visit Sequence,ReferencedVisitSequence,SQ,1,
129,"(0008,1130)",Referenced Overlay Sequence,ReferencedOverlaySequence,SQ,1,RET (2004)
130,"(0008,1134)",Referenced Stereometric Instance Sequence,ReferencedStereometricInstanceSequence,SQ,1,
131,"(0008,113A)",Referenced Waveform Sequence,ReferencedWaveformSequence,SQ,1,
132,"(0008,1140)",Referenced Image Sequence,ReferencedImageSequence,SQ,1,
133,"(0008,1145)",Referenced Curve Sequence,ReferencedCurveSequence,SQ,1,RET (2004)
134,"(0008,114A)",Referenced Instance Sequence,ReferencedInstanceSequence,SQ,1,
135,"(0008,114B)",Referenced Real World Value Mapping Instance Sequence,ReferencedRealWorldValueMappingInstanceSequence,SQ,1,
136,"(0008,1150)",Referenced SOP Class UID,ReferencedSOPClassUID,UI,1,
137,"(0008,1155)",Referenced SOP Instance UID,ReferencedSOPInstanceUID,UI,1,
138,"(0008,1156)",Definition Source Sequence,DefinitionSourceSequence,SQ,1,
139,"(0008,115A)",SOP Classes Supported,SOPClassesSupported,UI,1-n,
140,"(0008,1160)",Referenced Frame Number,ReferencedFrameNumber,IS,1-n,
141,"(0008,1161)",Simple Frame List,SimpleFrameList,UL,1-n,
142,"(0008,1162)",Calculated Frame List,CalculatedFrameList,UL,3-3n,
143,"(0008,1163)",Time Range,TimeRange,FD,2,
144,"(0008,1164)",Frame Extraction Sequence,FrameExtractionSequence,SQ,1,
145,"(0008,1167)",Multi-frame Source SOP Instance UID,MultiFrameSourceSOPInstanceUID,UI,1,
146,"(0008,1190)",Retrieve URL,RetrieveURL,UR,1,
147,"(0008,1195)",Transaction UID,TransactionUID,UI,1,
148,"(0008,1196)",Warning Reason,WarningReason,US,1,
149,"(0008,1197)",Failure Reason,FailureReason,US,1,
150,"(0008,1198)",Failed SOP Sequence,FailedSOPSequence,SQ,1,
151,"(0008,1199)",Referenced SOP Sequence,ReferencedSOPSequence,SQ,1,
152,"(0008,119A)",Other Failures Sequence,OtherFailuresSequence,SQ,1,
153,"(0008,1200)",Studies Containing Other Referenced Instances Sequence,StudiesContainingOtherReferencedInstancesSequence,SQ,1,
154,"(0008,1250)",Related Series Sequence,RelatedSeriesSequence,SQ,1,
155,"(0008,2110)",Lossy Image Compression (Retired),LossyImageCompressionRetired,CS,1,RET (1993)
156,"(0008,2111)",Derivation Description,DerivationDescription,ST,1,
157,"(0008,2112)",Source Image Sequence,SourceImageSequence,SQ,1,
158,"(0008,2120)",Stage Name,StageName,SH,1,
159,"(0008,2122)",Stage Number,StageNumber,IS,1,
160,"(0008,2124)",Number of Stages,NumberOfStages,IS,1,
161,"(0008,2127)",View Name,ViewName,SH,1,
162,"(0008,2128)",View Number,ViewNumber,IS,1,
163,"(0008,2129)",Number of Event Timers,NumberOfEventTimers,IS,1,
164,"(0008,212A)",Number of Views in Stage,NumberOfViewsInStage,IS,1,
165,"(0008,2130)",Event Elapsed Time(s),EventElapsedTimes,DS,1-n,
166,"(0008,2132)",Event Timer Name(s),EventTimerNames,LO,1-n,
167,"(0008,2133)",Event Timer Sequence,EventTimerSequence,SQ,1,
168,"(0008,2134)",Event Time Offset,EventTimeOffset,FD,1,
169,"(0008,2135)",Event Code Sequence,EventCodeSequence,SQ,1,
170,"(0008,2142)",Start Trim,StartTrim,IS,1,
171,"(0008,2143)",Stop Trim,StopTrim,IS,1,
172,"(0008,2144)",Recommended Display Frame Rate,RecommendedDisplayFrameRate,IS,1,
173,"(0008,2200)",Transducer Position,TransducerPosition,CS,1,RET (1993)
